date,delta,ofz_below_1y,k_rate,usd_below_1y,Ставка по вкладам в рублях до 1 года,urals_price,buyer_prices_index,m0,m2,usd_to_rur,avg_payment,rLoan,rMortgage,rMortgage_npl,uLoan
2011-01-01,-79049.0,5.24466666666667,7.75,2.9,4.5,96.29,106.17151000000001,5532900.0,19307.7,30.08,20669,3715268,949247,23564,180126
2011-02-01,180475.0,5.14421052631579,8.0,3.1,4.4,103.96,106.99963999999999,5613700.0,19536.7,29.29,20680,3722987,958006,24333,174976
2011-03-01,106845.0,5.02136363636364,8.0,3.1,4.2,114.44,107.66304,5647000.0,19788.7,28.43,22673,3762689,969771,24221,169388
2011-04-01,224890.0,4.55857142857143,8.0,2.6,4.1,123.15,108.12598999999999,5863400.0,20020.8,28.1,22519,3857061,993849,24476,165021
2011-05-01,45856.0,4.795,8.25,2.6,4.1,114.46,108.645,5893400.0,20160.9,27.87,22779,3983348,1020032,24586,158883
2011-06-01,227020.0,4.934761904761911,8.25,2.6,4.2,113.76,108.89488,6017200.0,20721.9,27.98,24137,4113235,1049487,25007,159953
2011-07-01,133756.0,4.77761904761905,8.25,2.6,4.0,116.46,108.88399,6151200.0,20828.1,27.9,23598,4256170,1083924,25462,159536
2011-08-01,10165.0,5.21521739130435,8.25,2.6,4.1,110.08,108.62267,6204500.0,21061.9,28.77,23051,4395178,1113145,25369,155980
2011-09-01,45398.0,5.87363636363636,8.25,2.5,4.0,110.88,108.57921999999999,6303700.0,21480.4,30.49,23468,4555747,1150160,25497,161765
2011-10-01,17145.0,6.44380952380952,8.25,2.9,4.5,109.47,109.1004,6349700.0,21366.7,31.35,23602,4706966,1181914,25583,173648
2011-11-01,137814.0,6.34904761904762,8.25,3.0,5.5,110.5,109.55861999999999,6392900.0,21920.0,30.86,24296,4851530,1217198,25821,160150
2011-12-01,733416.0,6.52772727272727,8.0,3.1,5.7,107.97,110.04068000000001,7149600.0,24204.8,31.45,32809,5002340,1262395,26006,163750
2012-01-01,-168795.0,6.4119047619047596,8.0,3.1,5.8,110.99,110.59088,6669200.0,23349.1,31.51,23746,5218033,1314331,25946,164651
2012-02-01,169513.0,6.29,8.0,3.0,5.3,119.7,111.00007,6730300.0,23542.5,29.88,24036,5273307,1325953,26188,152802
2012-03-01,112927.0,6.294137931034481,8.0,3.0,5.3,124.93,111.64386999999999,6716700.0,23747.8,29.37,25487,5406988,1358002,26254,143301
2012-04-01,267029.0,6.41966666666667,8.0,3.2,5.5,120.59,111.98997,6905300.0,23923.8,29.47,25800,5606310,1398876,25455,141004
2012-05-01,80873.0,6.567,8.0,2.8,5.2,110.52,112.57231000000002,6902000.0,24036.3,30.65,26385,5833424,1449982,25560,137174
2012-06-01,274860.0,6.9293333333333305,8.0,2.8,5.4,95.59,113.57421000000001,7082100.0,24461.0,32.91,27494,6063001,1492786,25487,147946
2012-07-01,13565.0,6.5196774193548395,8.0,2.9,5.3,103.14,114.97117,7077700.0,24306.3,32.5,26684,6269335,1538264,25409,148044
2012-08-01,112922.0,6.29516129032258,8.0,2.8,5.2,113.34,115.08613999999999,7088200.0,24284.2,31.97,25718,6466574,1580569,25478,143325
2012-09-01,64540.0,6.36766666666667,8.25,2.9,5.5,113.38,115.71911999999999,7107900.0,24437.8,31.52,25996,6710934,1636799,25406,141683
2012-10-01,74009.0,6.481612903225809,8.25,3.0,5.8,111.97,116.25142,7091300.0,24444.8,31.09,26803,6901185,1686091,25146,134325
2012-11-01,252527.0,6.51266666666667,8.25,2.9,6.0,109.71,116.64668,7157200.0,24741.0,31.41,27448,7107934,1747734,25006,134667
2012-12-01,807300.0,6.3,8.25,3.1,6.1,109.64,117.27656999999999,7959700.0,27164.6,30.75,36450,7290373,1807825,24779,130548
2013-01-01,-187311.0,5.9561111111111105,8.25,2.6,6.1,112.93,118.41415,7311700.0,26348.7,30.26,26840,7474221,1874345,27533,122859
2013-02-01,292234.0,5.731,8.25,3.0,6.2,116.46,119.07727,7372400.0,26768.4,30.16,26620,7542337,1890956,28164,120128
2013-03-01,248637.0,5.7715,8.25,3.0,6.1,109.24,119.48213999999999,7408100.0,27198.6,30.8,28693,7669177,1933625,28038,119542
2013-04-01,408961.0,5.70636363636364,8.25,2.9,6.1,102.88,120.09149,7739100.0,27377.1,31.33,30026,7842010,1975575,27867,119330
2013-05-01,-301.0,5.80857142857143,8.25,2.5,5.7,103.03,120.8841,7613900.0,27593.4,31.24,29723,8095603,2042395,27940,119041
2013-06-01,302548.0,6.161578947368421,8.25,2.6,5.6,103.11,121.39181,7761300.0,28212.3,32.28,30986,8318646,2096144,27710,117974
2013-07-01,78270.0,5.9995652173913,8.25,2.6,5.4,107.72,122.38722,7761800.0,28443.9,32.74,30229,8526504,2154063,26745,121005
