date,delta,ofz_below_1y,k_rate,usd_below_1y,rur_below_1y,urals_price,buyer_prices_index,m0,m2,usd_to_rur,avg_payment
1/1/2011,-79049,5.24466666666667,7.75,2.9,4.5,96.29,106.17151,5062.7,20011.9,30.08,20669
2/1/2011,180475,5.14421052631579,8,3.1,4.4,103.96,106.99964,4830.7,19307.7,29.29,20680
3/1/2011,106845,5.02136363636364,8,3.1,4.2,114.44,107.66304,4898,19536.7,28.43,22673
4/1/2011,224890,4.55857142857143,8,2.6,4.1,123.15,108.12599,4918.2,19788.7,28.1,22519
5/1/2011,45856,4.795,8.25,2.6,4.1,114.46,108.645,5071.3,20020.8,27.87,22779
6/1/2011,227020,4.93476190476191,8.25,2.6,4.2,113.76,108.89488,5079.8,20160.9,27.98,24137
7/1/2011,133756,4.77761904761905,8.25,2.6,4,116.46,108.88399,5192.2,20721.9,27.9,23598
8/1/2011,10165,5.21521739130435,8.25,2.6,4.1,110.08,108.62267,5306.6,20828.1,28.77,23051
9/1/2011,45398,5.87363636363636,8.25,2.5,4,110.88,108.57922,5343,21061.9,30.49,23468
10/1/2011,17145,6.44380952380952,8.25,2.9,4.5,109.47,109.1004,5420.4,21480.4,31.35,23602
11/1/2011,137814,6.34904761904762,8.25,3,5.5,110.5,109.55862,5420.1,21366.7,30.86,24296
12/1/2011,733416,6.52772727272727,8,3.1,5.7,107.97,110.04068,5475.2,21920,31.45,32809
1/1/2012,-168795,6.41190476190476,8,3.1,5.8,110.99,110.59088,5938.6,24204.8,31.51,23746
2/1/2012,169513,6.29,8,3,5.3,119.7,111.00007,5670.7,23349.1,29.88,24036
3/1/2012,112927,6.29413793103448,8,3,5.3,124.93,111.64387,5713,23542.5,29.37,25487
4/1/2012,267029,6.41966666666667,8,3.2,5.5,120.59,111.98997,5704.3,23747.8,29.47,25800
5/1/2012,80873,6.567,8,2.8,5.2,110.52,112.57231,5831.5,23923.8,30.65,26385
6/1/2012,274860,6.92933333333333,8,2.8,5.4,95.59,113.57421,5856.4,24036.3,32.91,27494
7/1/2012,13565,6.51967741935484,8,2.9,5.3,103.14,114.97117,6003.9,24461,32.5,26684
8/1/2012,112922,6.29516129032258,8,2.8,5.2,113.34,115.08614,5976.3,24306.3,31.97,25718
9/1/2012,64540,6.36766666666667,8.25,2.9,5.5,113.38,115.71912,5980,24284.2,31.52,25996
10/1/2012,74009,6.48161290322581,8.25,3,5.8,111.97,116.25142,5969.2,24437.8,31.09,26803
11/1/2012,252527,6.51266666666667,8.25,2.9,6,109.71,116.64668,5931.3,24444.8,31.41,27448
12/1/2012,807300,6.3,8.25,3.1,6.1,109.64,117.27657,5975.4,24741,30.75,36450
1/1/2013,-187311,5.95611111111111,8.25,2.6,6.1,112.93,118.41415,6430.1,27164.6,30.26,26840
2/1/2013,292234,5.731,8.25,3,6.2,116.46,119.07727,6078.9,26348.7,30.16,26620
3/1/2013,248637,5.7715,8.25,3,6.1,109.24,119.48214,6140.9,26768.4,30.8,28693
4/1/2013,408961,5.70636363636364,8.25,2.9,6.1,102.88,120.09149,6181.4,27198.6,31.33,30026
5/1/2013,-301,5.80857142857143,8.25,2.5,5.7,103.03,120.8841,6353.5,27377.1,31.24,29723
6/1/2013,302548,6.16157894736842,8.25,2.6,5.6,103.11,121.39181,6348.8,27593.4,32.28,30986
7/1/2013,78270,5.9995652173913,8.25,2.6,5.4,107.72,122.38722,6470.3,28212.3,32.74,30229
8/1/2013,86971,5.99681818181818,8.25,2.5,5.3,110.96,122.55857,6480.1,28443.9,33.02,29226
9/1/2013,5070,6.07857142857143,5.5,2.4,5.4,111.62,122.81594,6509.8,28499.9,32.63,29346
10/1/2013,95648,6.05782608695652,5.5,2.2,5.1,109.48,123.51599,6414.4,28352.6,32.06,30069
11/1/2013,142125,6.154,5.5,2.1,5,108.08,124.20768,6419,28276.4,32.64,30290
12/1/2013,764180,6.24285714285714,5.5,2.3,5.1,110.63,124.84114,6564.1,28873.3,32.89,39648
1/1/2014,-567448,6.18368421052632,5.5,2.01,5.3,107.57,125.5777,6985.6,31155.6,33.46,29535
2/1/2014,77197,6.3565,5.5,1.84,5.09,108.81,126.45675,6663.1,29861.2,35.22,29255
3/1/2014,-303341,7.3975,7,1.66,5.07,107.41,127.7466,6699.9,30169,36.21,31486
4/1/2014,300439,7.44727272727272,7.5,1.87,5.18,107.88,128.89632,6608.2,29519.3,35.66,32947
5/1/2014,8596,7.932,7.5,1.78,5.19,109.68,130.05639,6776.8,29879,34.93,32272
6/1/2014,183236,7.90684210526316,7.5,1.83,5.33,111.87,130.86274,6763.1,29890.8,34.41,33726
7/1/2014,96407,8.29478260869565,8,1.58,5.54,106.98,131.50397,6763.5,30073.1,34.64,32515
8/1/2014,133248,8.59666666666667,8,1.77,5.63,101.92,131.81958,6871.2,30178.3,36.11,30763
9/1/2014,-52627,8.67681818181818,8,1.63,5.71,97.34,132.6764,6964.1,30338.7,37.87,31929
10/1/2014,-47208,8.96217391304348,8,1.95,5.95,87.27,133.76435,6959.3,30297.6,40.76,32439
11/1/2014,-45024,9.85894736842105,9.5,2.26,6.23,78.44,135.47653,6907.6,29831.2,45.86,32546
12/1/2014,-77472,13.4804545454545,17,5.22,12.29,62.16,139.02602,6920,30141.9,55.41,42136
1/1/2015,-187272,15.0984210526316,17,5.22,12.33,48.42,144.37852,7171.5,31615.7,61.7,30929
2/1/2015,369176,13.1131578947368,15,5.2,11.22,57.93,147.58372,6700.3,31033.7,64.63,31325
3/1/2015,186618,12.7952380952381,14,5.18,11.16,55.79,149.36949,6671.9,31225,60.23,32642
4/1/2015,434065,11.6272727272727,14,3.96,8.97,59.39,150.05659,6540.9,31028.8,52.87,34377
5/1/2015,68827,10.4272222222222,12.5,3.54,8.86,64.56,150.58179,6619.6,31696.9,50.58,34380
6/1/2015,231858,10.5604761904762,11.5,2.7,9.39,62.35,150.86789,6576.8,31820.4,54.5,35395
7/1/2015,185049,10.1991304347826,11.5,2.2,8.74,55.87,152.07483,6659.5,31936.3,57.07,33901
8/1/2015,7104,10.5647619047619,11,1.98,8.44,46.99,152.6071,6759.5,32072.5,65.15,32176
9/1/2015,75169,10.9777272727273,11,1.9,8.45,47.23,153.47696,6785.7,32361,66.77,32911
10/1/2015,120663,10.3909090909091,11,1.7,6.92,48.12,154.61269,6744.9,32052.5,63.07,33357
11/1/2015,165837,10.3,11,1.65,7.45,44.42,155.77228,6786.9,32161,65.03,33347
12/1/2015,1034556,10.52,11,1.68,8.43,37.72,156.97173,6786.6,32745,69.66,43408
1/1/2016,-454791,10.3088888888889,11,1.58,8.2,30.8,158.47866,7239.1,35179.7,76.25,32660
2/1/2016,269297,9.93047619047619,11,1.62,7.68,33.2,159.47707,7055.1,33966.5,77.22,33873
3/1/2016,147971,9.50590909090909,11,1.59,7.46,39.07,160.21067,7149.8,34309.6,70.47,35501
4/1/2016,379759,9.70190476190476,11,1.3,7.67,42.25,160.91559,7142.9,34689.4,66.68,36497
5/1/2016,131129,9.53894736842105,11,1.19,7.04,47.13,161.57535,7301.5,35105.5,65.66,37270
6/1/2016,260591,9.75285714285714,10.5,0.97,6.92,48.48,162.15702,7296.8,35642.9,65.31,38447
7/1/2016,98589,9.60666666666667,10.5,0.87,6.78,45.07,163.03267,7372.7,35856.9,64.33,35888
8/1/2016,92168,9.27434782608696,10.5,0.89,6.77,46.14,163.04897,7462.4,36031.7,64.92,35405
9/1/2016,20272,9.015,10,0.82,6,46.19,163.32615,7438.5,36169.6,64.6,35843
10/1/2016,72037,9.00238095238095,10,0.71,6.01,49.73,164.02846,7412.2,36148.8,62.68,35749
11/1/2016,172323,8.93619047619048,10,0.72,6.62,46.44,164.75018,7339.1,36051,64.36,36195
12/1/2016,889085,8.65954545454545,10,0.76,6.5,54.07,165.40918,7317.2,36433,62.18,47554
1/1/2017,-154550,8.41619047619048,10,0.79,6.5,54.89,166.43472,7714.8,38418,59.96,34422
2/1/2017,259531,8.83052631578947,10,0.77,6.3,55.49,166.80087,7543.7,38016.8,58.39,35497
3/1/2017,67600,8.98772727272727,9.75,0.8,5.91,51.97,167.01772,7587.4,38475.2,58.1,37899
4/1/2017,162438,8.65526315789474,9.75,0.52,6.25,53.06,167.56887,7610.3,38555.2,56.43,39225
5/1/2017,98717,8.3195,9.25,0.76,6.1,50.87,168.18888,7775.3,38663.8,57.17,39679
6/1/2017,376709.296999998,8.03904761904762,9,0.71,5.7,46.89,169.21483,7813.3,39222.9,57.82,41454
7/1/2017,-29642.9290000014,8.07428571428571,9,0.66,6.07,48.5,169.33328,7946.9,39623.1,59.67,38073
8/1/2017,27503.9260000028,7.88217391304348,9,0.73,6.07,52,168.41888,8034.2,39275.9,59.65,37099
9/1/2017,57844.7039999999,7.64809523809524,8.5,0.66,5.31,57,168.16625,8066.8,39419.3,57.73,38047
10/1/2017,65361.3519999981,7.50363636363636,8.25,0.61,5.67,57.5,168.50259,8089.5,39571,57.71,38333
11/1/2017,221113.780000001,7.38142857142857,8.25,0.64,5.18,63.1,168.852459482,8071.5,39667.5,58.92,38848
12/1/2017,1013335.87,6.97809523809524,7.75,0.73,5.27,64.9,169.560950418,8073.9,40114.4,58.59,50500
1/1/2018,-453104,6.49,7.75,0.76,5.53,67.9,170.111589523762,8446,42442.2,56.2914,39016.6841788071
2/1/2018,380519,6.72,7.75,0.72,5.42,67,170.449538951796,8163.6,41597.5,55.6717,40443.3628794952
3/1/2018,211634,6.3,7.5,0.83,5.43,68,170.944584626663,8301,42045.5,57.2649,42363.5731972862
4/1/2018,450166,6.13,7.25,0.83,5.29,69,171.599355316224,8442.6,42377,61.9997,43381.051688983
5/1/2018,239,6.57,7.25,1.49,5.39,68,172.237010956742,8712.3,43122,62.5937,44075.5375373829
6/1/2018,273940,6.66,7.25,1.76,5.1,70,173.085778843473,8772,43257.4,62.7565,45848.0776479824
7/1/2018,20882,6.83,7.25,1.32,5.04,71,173.55887433855,8945.5,44125.3,62.7805,42413.4651766869
8/1/2018,-87913,7.08,7.25,1.32,4.98,69,173.566727515058,9053.1,43910.9,68.0821,41363.6006713941
9/1/2018,-178039,7.29,7.25,1.78,5.14,73,173.844432456552,9149.9,44369.1,65.5906,41774.3033664123
10/1/2018,158974,7.33,7.5,3.03,5.54,74,174.454581319565,9138.7,44253.4,65.7742,42331.6687145214
11/1/2018,-51824,7.71,7.5,2.49,5.89,75,175.319508680161,9048.4,44219,66.6342,42595.005329931
12/1/2018,983509,7.78,7.5,2.57,5.62,59,176.784246905807,8980.9,44892.1,69.4706,51197.3451855276
