date,code,avg_price,settlement_price,settlement_price_delta,price_open,price_max,price_min,price_last,value_lots_last,count,value_money_rub,value_money_usd,value_lots,open_interests_money_rub,open_interests_money_usd,open_interests,,,
13.06.2018,U79,,70,32,,,,,,,,0,0,0,0,,,,0
14.06.2018,U79,,70,32,0,,,,,,,0,0,0,0,,,,0
15.06.2018,U79,,70,32,0,,,,,,,0,0,0,0,,,,0
18.06.2018,U79,,70,32,0,,,,,,,0,0,0,0,,,,0
19.06.2018,U79,,70,32,0,,,,,,,0,0,0,0,,,,0
20.06.2018,U79,,70,32,0,,,,,,,0,0,0,0,,,,0
21.06.2018,U79,,70,32,0,,,,,,,0,0,0,0,,,,0
22.06.2018,U79,,67,25,-3,,,,,,,0,0,0,0,,,,0
25.06.2018,U79,,67,25,0,,,,,,,0,0,0,0,,,,0
26.06.2018,U79,,67,25,0,,,,,,,0,0,0,0,,,,0
27.06.2018,U79,,67,25,0,,,,,,,0,0,0,0,,,,0
28.06.2018,U79,,67,25,0,,,,,,,0,0,0,0,,,,0
29.06.2018,U79,,67,25,0,,,,,,,0,0,0,0,,,,0
02.07.2018,U79,,67,25,0,,,,,,,0,0,0,0,,,,0
03.07.2018,U79,,71,51,4,,,,,,,0,0,0,0,,,,0
04.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
05.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
06.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
09.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
10.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
11.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
12.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
13.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
16.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
17.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
18.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
19.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
20.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
23.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
24.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
25.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
26.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
27.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
30.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
31.07.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
01.08.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
02.08.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
03.08.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
06.08.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
07.08.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
08.08.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
09.08.2018,U79,,71,51,0,,,,,,,0,0,0,0,,,,0
10.08.2018,U79,,69,21,-2,,,,,,,0,0,0,0,,,,0
13.08.2018,U79,,69,21,0,,,,,,,0,0,0,0,,,,0
14.08.2018,U79,,69,21,0,,,,,,,0,0,0,0,,,,0
15.08.2018,U79,,69,21,0,,,,,,,0,0,0,0,,,,0
